2024/07/17 13:20:08 [INFO]: Shell is interactive: 1
2024/07/17 13:20:08 [INFO]: Device name: /dev/ttys002 
2024/07/17 13:20:08 [INFO]: Lines 43

2024/07/17 13:20:08 [DEBUG]: 27310 (launched): pwd

2024/07/17 13:20:08 [DEBUG]: 27310 (completed): pwd

2024/07/17 13:20:08 [DEBUG]: Freeing previous_p->argv[0]: 0x6000007a8070
2024/07/17 13:20:08 [DEBUG]: Freeing previous_p->argv: 0x6000007a8060
2024/07/17 13:20:08 [DEBUG]: Freeing previous_p: 0x0
2024/07/17 13:20:08 [DEBUG]: Freeing job: 0x600002bac080
2024/07/17 13:20:10 [DEBUG]: 27311 (launched): pwd

2024/07/17 13:20:10 [DEBUG]: 27311 (completed): pwd

2024/07/17 13:20:10 [DEBUG]: Freeing previous_p->argv[0]: 0x6000007a0030
2024/07/17 13:20:10 [DEBUG]: Freeing previous_p->argv: 0x6000007a0020
2024/07/17 13:20:10 [DEBUG]: Freeing previous_p: 0x0
2024/07/17 13:20:10 [DEBUG]: Freeing job: 0x600002ba8000
2024/07/17 13:20:10 [DEBUG]: 27312 (launched): pwd

2024/07/17 13:20:10 [DEBUG]: 27312 (completed): pwd

2024/07/17 13:20:10 [DEBUG]: Freeing previous_p->argv[0]: 0x6000007bc030
2024/07/17 13:20:10 [DEBUG]: Freeing previous_p->argv: 0x6000007bc020
2024/07/17 13:20:10 [DEBUG]: Freeing previous_p: 0x0
2024/07/17 13:20:10 [DEBUG]: Freeing job: 0x600002ba4000
2024/07/17 13:20:11 [DEBUG]: 27313 (launched): pwd

2024/07/17 13:20:11 [DEBUG]: 27313 (completed): pwd

2024/07/17 13:20:11 [DEBUG]: Freeing previous_p->argv[0]: 0x6000007a0040
2024/07/17 13:20:11 [DEBUG]: Freeing previous_p->argv: 0x6000007a0030
2024/07/17 13:20:11 [DEBUG]: Freeing previous_p: 0x0
2024/07/17 13:20:11 [DEBUG]: Freeing job: 0x600002ba8000
2024/07/17 13:20:11 [DEBUG]: 27314 (launched): pwd

2024/07/17 13:20:11 [DEBUG]: 27314 (completed): pwd

2024/07/17 13:20:11 [DEBUG]: Freeing previous_p->argv[0]: 0x6000007bc040
2024/07/17 13:20:11 [DEBUG]: Freeing previous_p->argv: 0x6000007bc030
2024/07/17 13:20:11 [DEBUG]: Freeing previous_p: 0x0
2024/07/17 13:20:11 [DEBUG]: Freeing job: 0x600002ba4000
2024/07/17 13:20:19 [DEBUG]: 27334 (launched): ððŸ¤”

2024/07/17 13:20:19 [DEBUG]: 27334 (completed): ððŸ¤”

2024/07/17 13:20:19 [DEBUG]: Freeing previous_p->argv[0]: 0x6000007a0050
2024/07/17 13:20:19 [DEBUG]: Freeing previous_p->argv: 0x6000007a0040
2024/07/17 13:20:19 [DEBUG]: Freeing previous_p: 0x0
2024/07/17 13:20:19 [DEBUG]: Freeing job: 0x600002ba8000
2024/07/17 13:20:21 [DEBUG]: 27335 (launched): whoami

2024/07/17 13:20:21 [DEBUG]: 27335 (completed): whoami

2024/07/17 13:20:21 [DEBUG]: Freeing previous_p->argv[0]: 0x6000007a4040
2024/07/17 13:20:21 [DEBUG]: Freeing previous_p->argv: 0x6000007a4030
2024/07/17 13:20:21 [DEBUG]: Freeing previous_p: 0x0
2024/07/17 13:20:21 [DEBUG]: Freeing job: 0x600002ba0000
2024/07/17 13:20:30 [DEBUG]: 27336 (launched): whoami

2024/07/17 13:20:30 [DEBUG]: 27336 (completed): whoami

2024/07/17 13:20:30 [DEBUG]: Freeing previous_p->argv[0]: 0x6000007bc050
2024/07/17 13:20:30 [DEBUG]: Freeing previous_p->argv: 0x6000007bc040
2024/07/17 13:20:30 [DEBUG]: Freeing previous_p: 0x0
2024/07/17 13:20:30 [DEBUG]: Freeing job: 0x600002ba4000
